k,x1,x2,f,grad_norm,error
0,1.0,3.0,305.0,214.41082062246764,3.2015621187164243
1,2.03125,-0.1875,10.842652320861816,37.96940983975995,1.1879111130467632
2,2.0123077593935244,0.7961745593443764,8.595455450866314,34.47835446594288,1.0311427310305181
3,2.158926453055317,0.27778588496823875,0.7426932352040492,6.069147191190033,0.8699332297880445
4,2.2116218662878397,0.430239720164402,0.5230762833446928,5.194444152527132,0.7914585133525381
5,2.253804168600304,0.3608991349084197,0.3178516073065929,1.825145325153469,0.7590502417281147
6,3.1630175597153096,0.6174160670110027,0.29390555271035684,6.584547809859454,0.20090111390399712
7,3.179668014364831,0.5158887840702452,0.00815448134170435,1.0300514655251691,0.18036920148692795
8,3.174487016919795,0.5425454143073555,0.007453233799231802,0.9795285313557339,0.17959908505377564
9,3.176679538904985,0.5273981388840422,0.0011254788401659143,0.15468785344972122,0.17879126791313776
10,3.1753313321773398,0.5312516390556085,0.0010933296710577338,0.14616879894135207,0.17809475283326764
11,3.1753750432562744,0.5289681699013002,0.0009484089282523402,0.031042214161381285,0.1777514013012857
12,3.1738386996083436,0.529730731471843,0.0009339052525439156,0.0558359378790966,0.1763627224652953
13,3.173466131811622,0.528026098013325,0.0009336293778280697,0.07107498265418133,0.1757155686202549
14,3.173366882253351,0.5279779101864555,0.0009336113290530474,0.07327332722391616,0.17560990667000714
15,3.172869354832581,0.5290090516491963,0.0008944464481380638,0.0231703721842553,0.17528644818644296
16,3.162130325509443,0.5251987778975826,0.0008105989073659024,0.1369015045385287,0.16407687484020894
17,3.161522161377769,0.5272495887958227,0.0006845593340969849,0.026989789889491224,0.16380460526397755
18,3.1606210279876565,0.5260868968508875,0.0006824014203451652,0.05508188918137169,0.16272566121887594
19,3.1602339215030004,0.5268555806413247,0.0006600101953924146,0.018203010153771286,0.1624688641303693
20,3.142871383215602,0.5214335804306387,0.0006202892850570038,0.1758953638290579,0.14447017170342127
21,3.142243178580819,0.5241091867990955,0.00041519668515172014,0.029706011945041706,0.14427187785874446
22,3.1419983367231743,0.5233573357381709,0.00041000635774297335,0.026926074363464152,0.14390654177254633
23,3.1415245431565104,0.5240527065984768,0.00040896227403277197,0.03399110314237311,0.1435539237024589
24,3.1405896500043715,0.5241139764922298,0.00040743554830089253,0.04921761090342028,0.1426426778724358
25,3.1405439179306613,0.523346312314291,0.0003903821220331307,0.013272304807439319,0.14246979738167975
26,3.1374815792085746,0.52385125641797,0.0003889061981397357,0.06751695918471963,0.1395351821384103
27,3.1374949801422574,0.5227963890493614,0.00035790767451265935,0.014625955381040317,0.1393719660405549
28,3.1367580837073237,0.5231358664133499,0.00035402545625824326,0.025431928731733583,0.13870126810521857
29,3.136566933948334,0.522364448373559,0.00035350773419503254,0.032238228152091264,0.13838603975510752
30,3.136179783533944,0.5221909555478863,0.00035312001731740565,0.03983781378880433,0.13797598324157787
31,3.1359271291498643,0.5227598399691288,0.00034176870250955823,0.011602649123279312,0.13781942807291078
32,3.1333887676741887,0.521636196941879,0.0003293315369853043,0.04597465891102444,0.13513211446486903
33,3.1331288226048537,0.5223058693211755,0.00031461376629141616,0.011672940315933463,0.134984573986541
34,3.131991622288716,0.5215916423886297,0.0003094809402212826,0.0325092951976422,0.13374598078239772
35,3.1317715964083073,0.5220494738805556,0.0003017758240555728,0.010264743067760972,0.13360364111207118
36,3.1270187964363982,0.5203586108001915,0.0002839876547521703,0.06109621960479502,0.12863999254456154
37,3.126738617782935,0.5212711979818008,0.0002587991568736284,0.01241857244144686,0.1285112489282937
38,3.126294445607078,0.5207555869601181,0.0002575125078943297,0.024095838558764356,0.12798859863776232
39,3.1261135146960775,0.5210857601813124,0.0002531177306698658,0.008677808517838753,0.1278640992281319
40,3.117390600397779,0.519013880490953,0.00020084199141644275,0.04178937183046826,0.11892048062918034
41,3.117186140015044,0.5196340025132145,0.00018896583647366223,0.009056965734328095,0.11881955001730296
42,3.1168226418685214,0.5192871082826626,0.00018746504841302098,0.01574193090037004,0.11840406327085218
43,3.116554599799105,0.5196996053473675,0.0001872510936222517,0.019950518611594144,0.1182076528198218
44,3.1160288434162546,0.5197460099718157,0.000187232957651172,0.029397785949368645,0.11769705779806386
45,3.1160076901391767,0.5192871568940708,0.00018119303666944007,0.007623043458177098,0.11760007904964916
