k,x1,x2,f,grad_norm,error
0,1.0,3.0,305.0,214.41082062246764,3.2015621187164243
1,2.03125,-0.1875,10.842652320861816,37.96940983975995,1.1879111130467632
2,1.9894390106201172,0.404296875,1.233312438465158,7.240470324987969,1.0150825589040595
3,2.145712744274401,0.24066853523254395,1.0250028829348639,8.490732510569986,0.8927819016498988
4,2.1627511073731545,0.37223757264738216,0.49637582381799633,2.629470585868524,0.8469409342143713
5,2.318310275422492,0.3192318262640282,0.3782908851126578,4.856986703607595,0.7052503195535593
6,2.3255179101965084,0.39477919835871367,0.20882029768972168,1.4120704326669167,0.6826401003191361
7,2.4076224450732164,0.3624112383918835,0.17749990842306138,2.821591080327154,0.6081462282230233
8,2.4133283445786664,0.4061278036522426,0.1190117342572864,0.8996636920956183,0.5941343455161971
9,2.4667388494277445,0.3885489456511508,0.09921024486991359,1.6596435635682916,0.5447832525189408
10,2.471983819947954,0.41394491606130823,0.07786660080940129,0.6280716015436946,0.534982769693053
11,2.548510981369715,0.39641640143146484,0.07045597201121999,2.04034445275597,0.46321905815299225
12,2.548950124427034,0.42829375882788845,0.0418234281323335,0.47895262881270306,0.45671410672040896
13,2.56172143728456,0.4204890981252773,0.03840225721825602,0.5327382250002739,0.4454324663210391
14,2.5698207712188865,0.43503416632511344,0.03587593118663597,0.6278563796842096,0.4350571553483365
15,2.5822955928457803,0.4198900813006906,0.03440555892396785,0.7734003191895071,0.4253170239128316
16,2.5874708737868564,0.4434982456913044,0.03436631229112627,0.9804984683583873,0.4163805089267988
17,2.5941561001854154,0.4297135081236225,0.027381161217195707,0.30300873811937973,0.41188525338618115
18,2.6088832819762153,0.44161979670638274,0.025068058544331445,0.5857992220758094,0.3954497885374334
19,2.6189142529783536,0.4263064848581024,0.02482088936577994,0.739590342684036,0.38814569527049425
20,2.6204646291571008,0.4377581118261785,0.02078658192642592,0.24212159737386654,0.3846051876461101
21,2.6348928765451793,0.4331950804762009,0.019045835632994078,0.4460311038424946,0.37116857203976056
22,2.6387439709563854,0.446590978109191,0.018696589624663227,0.5592244735883745,0.3651827517006983
23,2.6429656583776815,0.4389406222906734,0.016336396859916575,0.19802733092330363,0.3622178470256989
24,2.6633913895589663,0.45292350924113506,0.01577029015524025,0.7002010421316924,0.3398846166057139
25,2.6674672890334867,0.44277044688716427,0.012345100454662503,0.18071759498698653,0.3374214362073541
26,2.67530441391911,0.4509039026700401,0.012022053767876448,0.4117089540648292,0.3283864345454082
27,2.6783851173699147,0.44525658977607807,0.010745895501887126,0.1449088290671789,0.32624066836019716
28,2.693307022535253,0.45552495784624747,0.010434835865302564,0.5163782750584821,0.3099009709580946
29,2.6963550901825952,0.448054446994579,0.008565337982500972,0.13595474889292525,0.30805611783416814
30,2.7023505718820764,0.4540757531559199,0.008337690759395836,0.30457018182875273,0.3011714105075762
31,2.7046894643071115,0.4499312630833993,0.007631319006351177,0.11118441318586252,0.29952494204597474
32,2.7162907595947603,0.457584091793473,0.007332235904206233,0.3812187275013441,0.28686241015563996
33,2.7186309419116284,0.4521065059498335,0.006303561750328331,0.10543854724197711,0.2854160710644564
34,2.7234508484993696,0.4566004356093041,0.0061099832196076604,0.22634793443616988,0.279933841085748
35,2.725277486307854,0.45357197964246876,0.005710880851780648,0.08826857344973252,0.27861805505682974
36,2.734683076092807,0.45934039232203083,0.005411403069552866,0.2819290703769476,0.26841436960062615
37,2.736517833076937,0.4553355277271475,0.0048398244417941225,0.08389411942173876,0.2672410286050503
38,2.7405276706262853,0.4587140277626864,0.004670990622345202,0.16918819597965232,0.262736410141803
39,2.7434461023019465,0.45430534178149906,0.0046425143693369555,0.21382493205590092,0.2605914507687635
40,2.743951060221104,0.4576079764589276,0.004301131656138322,0.07342084542851533,0.25953447405268437
41,2.7527686797500217,0.4550627786602355,0.0042374629589672684,0.2691601757209741,0.251282071732717
42,2.7530134045387515,0.45926128012059964,0.003727814489664646,0.07220440592778249,0.25032383353358634
43,2.757099381497014,0.4573455729819651,0.003650759042668933,0.15940907170209337,0.24661733640068764
44,2.7575880275759177,0.45978793740794455,0.0034544551790301075,0.060816593985355154,0.245724590451264
45,2.764995422567205,0.4580785421003202,0.0033230864463869585,0.1991855242197261,0.2387143901125383
46,2.7652902068420993,0.46117682396881093,0.0030378989452690577,0.05920540060143213,0.23789898276657942
